,dt_mvm_dwm,nr_cpr,cd_cli,cd_con2,produto,dias_atraso,limite_implantado,limite_utilizado,limite_disponivel,iu_implantado,ind_default,valor_honra_aval,data_default,motivo_default,UACF,LCF,CCF
0,2022-09-01,1,5477997,7563007605153,CARTAO_PF,0,2500.0,2499.6,0.4,0.9998,0,0.0,01SEP2023,CESSÃO,0.0,0.0,0.0
1,2022-10-01,1,5477997,7563007605153,CARTAO_PF,0,5000.0,2270.67,2729.33,0.4541,0,0.0,01SEP2023,CESSÃO,0.0,0.0,-1010.0418410041838
2,2022-11-01,1,5477997,7563007605153,CARTAO_PF,0,5000.0,4967.15,32.85,0.9934,0,0.0,01SEP2023,CESSÃO,0.0,0.0,4928.033472803347
3,2022-12-01,1,5477997,7563007605153,CARTAO_PF,0,5000.0,4989.46,10.54,0.9979,0,0.0,01SEP2023,CESSÃO,0.0,0.0,4977.163620347941
4,2023-01-01,1,5477997,7563007605153,CARTAO_PF,0,10000.0,8326.27,1673.73,0.8326,0,0.0,01SEP2023,CESSÃO,0.0,0.0,12325.346839903106
5,2023-02-01,1,5477997,7563007605153,CARTAO_PF,0,10000.0,9095.36,904.64,0.9095,0,0.0,01SEP2023,CESSÃO,0.0,0.0,14019.004624532043
6,2023-03-01,1,5477997,7563007605153,CARTAO_PF,0,10000.0,9784.0,216.0,0.9784,0,0.0,01SEP2023,CESSÃO,0.0,0.0,15535.498788813036
7,2023-04-01,1,5477997,7563007605153,CARTAO_PF,0,10000.0,6126.53,3873.47,0.6127,0,0.0,01SEP2023,CESSÃO,0.0,0.0,7481.171548117154
8,2023-05-01,1,5477997,7563007605153,CARTAO_PF,0,15000.0,10939.06,4060.94,0.7293,0,0.0,01SEP2023,CESSÃO,0.0,0.0,18079.123541070247
9,2023-06-01,1,5477997,7563007605153,CARTAO_PF,8,15000.0,14999.91,0.09,10000.0,0,0.0,01SEP2023,CESSÃO,0.0,0.0,27021.75732217573
10,2023-07-01,1,5477997,7563007605153,CARTAO_PF,39,16699.67,16699.67,0.0,10000.0,0,0.0,01SEP2023,CESSÃO,0.0,0.0,30764.89759964765
11,2023-08-01,1,5477997,7563007605153,CARTAO_PF,70,17197.66,17197.66,0.0,10000.0,0,0.0,01SEP2023,CESSÃO,0.0,0.0,31861.550319312926
12,2023-09-01,1,5477997,7563007605153,CARTAO_PF,0,15000.0,0.0,15000.0,0.0,1,17197.66,01SEP2023,CESSÃO,,,-6010.416207883726
